timestamp,count,min_us_enc
16,1799,28
13003168,2701,36
13478700,-1800,-28
13622500,-1800,-28
16468560,28020,36
20880704,2700,36
21135412,-2700,-38
21392592,-15000,-68
23213924,1800,28
25595052,-1799,-28
25739804,1798,28
25884356,-1798,-28
26509896,1798,28
52028132,-1798,-28
52173560,1798,28
52703512,-1798,-28
53178532,28018,36
60479740,2701,36
60740124,-2700,-38
61000288,-15000,-68
62821148,1799,28
62984492,-1799,-28
63131268,1800,28
63274680,-1800,-28
63906952,251199,28
78309328,-25119,-28
79448568,1800,28
